"","state","state_code","state_name","county_code","county","countyfips"
"1","AL","01","Alabama","001","Autauga County","01001"
"2","AL","01","Alabama","003","Baldwin County","01003"
"3","AL","01","Alabama","005","Barbour County","01005"
"4","AL","01","Alabama","007","Bibb County","01007"
"5","AL","01","Alabama","009","Blount County","01009"
"6","AL","01","Alabama","011","Bullock County","01011"
"7","AL","01","Alabama","013","Butler County","01013"
"8","AL","01","Alabama","015","Calhoun County","01015"
"9","AL","01","Alabama","017","Chambers County","01017"
"10","AL","01","Alabama","019","Cherokee County","01019"
"11","AL","01","Alabama","021","Chilton County","01021"
"12","AL","01","Alabama","023","Choctaw County","01023"
"13","AL","01","Alabama","025","Clarke County","01025"
"14","AL","01","Alabama","027","Clay County","01027"
"15","AL","01","Alabama","029","Cleburne County","01029"
"16","AL","01","Alabama","031","Coffee County","01031"
"17","AL","01","Alabama","033","Colbert County","01033"
"18","AL","01","Alabama","035","Conecuh County","01035"
"19","AL","01","Alabama","037","Coosa County","01037"
"20","AL","01","Alabama","039","Covington County","01039"
"21","AL","01","Alabama","041","Crenshaw County","01041"
"22","AL","01","Alabama","043","Cullman County","01043"
"23","AL","01","Alabama","045","Dale County","01045"
"24","AL","01","Alabama","047","Dallas County","01047"
"25","AL","01","Alabama","049","DeKalb County","01049"
"26","AL","01","Alabama","051","Elmore County","01051"
"27","AL","01","Alabama","053","Escambia County","01053"
"28","AL","01","Alabama","055","Etowah County","01055"
"29","AL","01","Alabama","057","Fayette County","01057"
"30","AL","01","Alabama","059","Franklin County","01059"
"31","AL","01","Alabama","061","Geneva County","01061"
"32","AL","01","Alabama","063","Greene County","01063"
"33","AL","01","Alabama","065","Hale County","01065"
"34","AL","01","Alabama","067","Henry County","01067"
"35","AL","01","Alabama","069","Houston County","01069"
"36","AL","01","Alabama","071","Jackson County","01071"
"37","AL","01","Alabama","073","Jefferson County","01073"
"38","AL","01","Alabama","075","Lamar County","01075"
"39","AL","01","Alabama","077","Lauderdale County","01077"
"40","AL","01","Alabama","079","Lawrence County","01079"
"41","AL","01","Alabama","081","Lee County","01081"
"42","AL","01","Alabama","083","Limestone County","01083"
"43","AL","01","Alabama","085","Lowndes County","01085"
"44","AL","01","Alabama","087","Macon County","01087"
"45","AL","01","Alabama","089","Madison County","01089"
"46","AL","01","Alabama","091","Marengo County","01091"
"47","AL","01","Alabama","093","Marion County","01093"
"48","AL","01","Alabama","095","Marshall County","01095"
"49","AL","01","Alabama","097","Mobile County","01097"
"50","AL","01","Alabama","099","Monroe County","01099"
"51","AL","01","Alabama","101","Montgomery County","01101"
"52","AL","01","Alabama","103","Morgan County","01103"
"53","AL","01","Alabama","105","Perry County","01105"
"54","AL","01","Alabama","107","Pickens County","01107"
"55","AL","01","Alabama","109","Pike County","01109"
"56","AL","01","Alabama","111","Randolph County","01111"
"57","AL","01","Alabama","113","Russell County","01113"
"58","AL","01","Alabama","115","St. Clair County","01115"
"59","AL","01","Alabama","117","Shelby County","01117"
"60","AL","01","Alabama","119","Sumter County","01119"
"61","AL","01","Alabama","121","Talladega County","01121"
"62","AL","01","Alabama","123","Tallapoosa County","01123"
"63","AL","01","Alabama","125","Tuscaloosa County","01125"
"64","AL","01","Alabama","127","Walker County","01127"
"65","AL","01","Alabama","129","Washington County","01129"
"66","AL","01","Alabama","131","Wilcox County","01131"
"67","AL","01","Alabama","133","Winston County","01133"
"68","AK","02","Alaska","013","Aleutians East Borough","02013"
"69","AK","02","Alaska","016","Aleutians West Census Area","02016"
"70","AK","02","Alaska","020","Anchorage Municipality","02020"
"71","AK","02","Alaska","050","Bethel Census Area","02050"
"72","AK","02","Alaska","060","Bristol Bay Borough","02060"
"3238","AK","02","Alaska","063","Chugach Census Area","02063"
"3239","AK","02","Alaska","066","Copper River Census Area","02066"
"73","AK","02","Alaska","068","Denali Borough","02068"
"74","AK","02","Alaska","070","Dillingham Census Area","02070"
"75","AK","02","Alaska","090","Fairbanks North Star Borough","02090"
"76","AK","02","Alaska","100","Haines Borough","02100"
"77","AK","02","Alaska","105","Hoonah-Angoon Census Area","02105"
"78","AK","02","Alaska","110","Juneau City and Borough","02110"
"79","AK","02","Alaska","122","Kenai Peninsula Borough","02122"
"80","AK","02","Alaska","130","Ketchikan Gateway Borough","02130"
"81","AK","02","Alaska","150","Kodiak Island Borough","02150"
"3237","AK","02","Alaska","158","Kusilvak Census Area","02158"
"82","AK","02","Alaska","164","Lake and Peninsula Borough","02164"
"83","AK","02","Alaska","170","Matanuska-Susitna Borough","02170"
"84","AK","02","Alaska","180","Nome Census Area","02180"
"85","AK","02","Alaska","185","North Slope Borough","02185"
"86","AK","02","Alaska","188","Northwest Arctic Borough","02188"
"87","AK","02","Alaska","195","Petersburg Census Area","02195"
"88","AK","02","Alaska","198","Prince of Wales-Hyder Census Area","02198"
