County FIPS 2000,kr26_p25_coef,kr26_p75_coef,Inverse HHI,Median House Price for Below-Median Income Families (Standardized),Median House Price for Above-Median Income Families (Standardized),Violent crime_rate,Property crime_rate
10003,-0.077,0.007,1.4203662686193386,-0.04,0.105,277.98247351963516,1308.4146675886473
12001,0.33,-0.095,2.8987297900203877,0.114,0.364,416.099173473346,1531.065438519319
12003,-0.994,0.938,3.681349715045887,-0.488,-1.07,409.4868527966978,1449.4093444284806
12005,0.104,0.184,2.12153734538492,0.006,0.052,251.0369362485459,1510.396499837683
12007,-1.188,2.774,3.6304101544062757,-0.288,-0.802,300.24451008929753,1187.0494719110243
12009,0.026,-0.257,2.0997068096890525,-0.074,-0.142,208.7174233955244,1029.6280158094364
12011,-0.036,-0.081,1.5735126120940761,-0.16,-0.157,29.204410790288136,78.53216601230406
12013,0.845,4.681,4.121450974184228,-0.987,-1.377,124.02860029121965,514.9846219672078
12015,0.229,0.816,1.6740224549251794,-0.406,-0.866,388.90636660149556,2913.905195312615
12017,0.38,-2.523,1.434286470550626,0.146,-0.026,276.2205182911843,1794.3933494829462
12019,-0.035,-0.166,1.8872989266786406,0.337,-0.065,421.3295405861136,2276.5640479883236
12021,0.376,0.008,1.643167428455587,1.029,1.271,399.3589712813446,1662.3817768299014
12023,0.07,-0.968,2.902358651067236,0.267,0.245,371.11864194930473,2065.7009118112255
12086,0.046,0.049,1.5071357863847512,-0.042,0.029,370.00588018077985,2117.375406197848
12027,-0.216,1.881,3.6373969509968265,-1.245,-1.729,503.8820687520864,2305.8770785786164
12029,-0.311,0.632,7.618836207274898,-0.669,-1.082,481.47913578401125,2614.0766948469573
12033,-0.158,0.331,1.790007072711292,-0.389,-0.245,682.3919423313628,3210.8786020429793
12035,0.009,0.961,2.1088455567237703,1.081,0.547,230.34652950794128,2082.0903876259313
12037,-0.903,-2.079,2.665531752374878,0.806,0.274,149.0047091101022,940.7709742624369
12039,-0.659,-0.55,6.5766107090969825,-0.471,-0.819,639.9317710658715,1713.7111511214534
12041,-0.969,-1.723,5.3642688348266585,0.003,-0.592,153.68344202562986,1289.6868343734484
12043,-1.351,4.362,5.098616655222832,-1.589,-2.508,420.45901524034247,2433.389851191158
12045,-0.406,-0.318,3.7225464454181387,-0.735,-0.801,492.1412985578785,1188.9005115263035
12047,0.762,3.274,18.56787559377314,-0.501,-0.435,358.0482084250163,1563.3549138161366
